ASIN,Vetrina,Marca,Nome prodotto,Prezzo,Sconto,Prezzo consigliato,Nome azienda:,N. Feed Back,Tipo di attività:,Numero di iscrizione al registro delle imprese:,Numero di partita IVA:,Numero di telefono:,Indirizzo Servizio clienti:,Indirizzo aziendale:,Emails
‎B06Y4W9B8Y,,Phyto,"Phyto Phytophanere Integratore Alimentare Naturale Fortificante per Capelli e Unghie, Dona Forza, Crescita e Volume, senza Siliconi, Confezione da 180 Capsule","27,50€",,,Amazon,,,,,,,,
‎B00NPXEEC4,,Liquido,"Maybelline New York Correttore Liquido Il Cancella Età, con Bacche di Goji e Haloxyl, Copre Occhiaie e Piccole Rughe, 02 Nude, 6,8 ml","6,75€",22.50%,"8,71€",Amazon,,,,,,,,
‎B00XI272S0,,Durex,"Durex Eternal Connection Gel Lubrificante Intimo anche per uso Anale, 50 ml","6,81€",33.82%,"10,29€",Amazon,,,,,,,,
‎B00KLXFUW4,,Liquido,"Maybelline New York Correttore Liquido Il Cancella Età, con Bacche di Goji e Haloxyl, Copre Occhiaie e Piccole Rughe, 01 Light, 6,8 ml","6,75€",22.50%,"8,71€",Amazon,,,,,,,,
‎B0792SGJPH,,I capelli sono immediatamente puliti e ritrovano il loro naturale volume come appena lavati.,"Alama Professional Frequent Shampoo Secco Uso Frequente, Shampoo Secco Detergente per Tutti i Tipi di Capelli, Formula con Amido di Riso, Capelli Immediatamente Puliti senza l'Uso di Acqua, 200ml","4,92€",44.72%,"8,90€",Amazon,,,,,,,,
‎B06ZYRPVZY,,L'Oréal Paris,"L'Oréal Paris Crema Viso Giorno Revitalift Laser X3, Azione Antirughe e Anti-Età, Con Acido Ialuronico, Vitamina C e Pro-Retinolo, Anti-macchie, Protezione SPF 25, 50 ml","12,75€",24.96%,"16,99€",Amazon,,,,,,,,
‎B0742CVQW4,,Nero,"Rimmel London Matita Occhi Waterproof ScandalEyes - Kohl Kajal Nero, 001 Black","3,80€",58.24%,"9,10€",Amazon,,,,,,,,
,,Senza profumo,"Angstrom Crema Solare Viso per un'Abbronzatura Ottima, Protezione Viso 50+ Abbronzante con Azione Ultra Idratante, Nutriente e Duratura, Indicata per Pelli Sensibili, 50 ml","9,97€",33.09%,"14,90€",Amazon,,,,,,,,
‎B0071IO5Y6,,Fresh,"HAWAIIAN Tropic SILK HYDRATION LOTION SPF 30, Lozione - 180 ml (Pack of 1)","8,17€",45.31%,"14,94€",Amazon,,,,,,,,
,https://amazon.it/s?ie=UTF8&marketplaceID=APJ6JRA9NG5V4&me=A1YDMD7SFXU0FM,Lozione,"Collistar Gocce Magiche Corpo-Gambe, concentrato autoabbronzante con effetto rapido, abbronzatura intensa, naturale e luminosa in meno di un'ora, no macchie, adatto a tutti gli incarnati, 125 ml","24,50€",35.53%,"38,00€",Limited Edition Center di Ayoub Hamsi,17,Impresa privata,To-1310289,IT03970931204,,,Via sabaudia160GrugliascoTorino10095IT,[]
‎B002SSDHUW,,Elizabeth Arden,Elizabeth Arden Green Tea Honey Drops Crema Corpo 500ml,"15,11€",41.88%,"26,00€",Amazon,,,,,,,,
‎B00V4XSTUU,,Scholl,"Scholl Solette Gel Activ Work, Solette da Lavoro per Uomo, Con Teconologia Antiodore, Azione Ammortizzante e Anti Urti, Taglia 40-46.5, Confezione da 1 Paio, Colori Assortiti","16,35€",27.33%,"22,50€",Amazon,,,,,,,,
‎B076QP8H6D,,S.O.S COLOR & GO,"S.O.S COLOR & GO Maschera Colorante Riflesssante e Ravvivante, Rame, 300 Millilitri","7,90€",12.22%,"9,00€",Amazon,,,,,,,,
,https://amazon.it/s?ie=UTF8&marketplaceID=APJ6JRA9NG5V4&me=A287H23MLPKTN8,PERSPIREX,Perspirex Strong Antitraspirante Roll on - 20 ml.,"12,65€",,,Difar distribuzione s.r.l.,111,Impresa privata,03124530837,IT03124530837,0909912376,Via Ciantro presso Centro Mercantile67MilazzoSicilia98057IT,Via Ciantro presso Centro Mercantile67MilazzoSicilia98057IT,[]
‎B00D3HXR98,,RestivOil,"RestivOil Complex Olio Shampoo Delicato Antiforfora per Capelli da Normali a Grassi con Azione Antiseborroica e Anti Prurito, Shampoo Senza Schiuma, 250 ml","8,50€",34.11%,"12,90€",Amazon,,,,,,,,
‎B016C2APSG,https://amazon.it/s?ie=UTF8&marketplaceID=APJ6JRA9NG5V4&me=A2R9IHEMRL2LP3,Intense Black,"Maybelline New York Mascara Ciglia Sensazionali, Volumizzante, Effetto Ventaglio sulle Ciglia, Intense Black, 9,5 ml","8,27€",,,GEA & CO SRL,137,Impresa privata,BG-471079,IT04546330160,,via benedetto MAFFEIS4GAZZANIGABergamo24025IT,via benedetto MAFFEIS4GAZZANIGABergamo24025IT,[]
‎B007NYJLJC,,Ciccarelli,"Ciccarelli Timodore Polvere Deodorante, 250g","8,39€",,,Amazon,,,,,,,,
,https://amazon.it/s?ie=UTF8&marketplaceID=APJ6JRA9NG5V4&me=A1Z8TVEMGD4KO0,,"Bionike Defence Body - Crema-Gel Trattamento Anti-cellulite ad Azione Drenante e Riducente, per Pelli Sensibili e Intolleranti, Stimola la Circolazione e Contrasta gli Inestetismi della Cellulite","22,10€",,,Farmacia Guarnaccia Sossio della Dott.ssa Ferrari,119,Impresa privata,798,IT05045260873,3914352673,Viale Vittorio Veneto 135CATANIACATANIA95127IT,Viale Vittorio Veneto 135CATANIACATANIA95127IT,[]
‎B00VXDTY3C,,Naturando,Naturando Tea Tree Oil 10 ML Puro Olio Etereo 100% di Melaleuca Alternifolia,"7,50€",34.78%,"11,50€",Amazon,,,,,,,,
‎B071DTH92W,,Castano,"Schwarzkopf, Root Retouch, Spray Ritocco Ricrescita Immediato, Tinta per Copertura Istantanea dei Capelli Bianchi, 40 Applicazioni, Castano","4,68€",47.94%,"8,99€",Amazon,,,,,,,,
